Date,SPY,QQQ,TLT,IEF,GLD,XLF,XLV,XLK,GDP,CPI,FEDFUNDS,UNRATE,GDP_chg,CPI_chg,FEDFUNDS_chg,UNRATE_chg
2010-01-05,0.17212240163578515,0.21017173699691416,0.24231693051704514,0.7933608865313285,0.09405058090864846,0.6615599768089202,-0.11027610321789713,0.07270673677628167,-1.2281784741915642,1.710736427893346,-2.002045337857233,-1.3803408604331433,2.0827372936409643,-0.6897942781177961,-2.150431666052638,0.3525465771714615
2010-01-06,0.17212240163578515,0.21017173699691416,0.24231693051704514,0.7933608865313285,0.09405058090864846,0.6615599768089202,-0.11027610321789713,0.07270673677628167,-1.2281784741915642,1.710736427893346,-2.002045337857233,-1.3803408604331433,2.0827372936409643,-0.6897942781177961,-2.150431666052638,0.3525465771714615
2010-01-07,0.17212240163578515,0.21017173699691416,0.24231693051704514,0.7933608865313285,0.09405058090864846,0.6615599768089202,-0.11027610321789713,0.07270673677628167,-1.2281784741915642,1.710736427893346,-2.002045337857233,-1.3803408604331433,2.0827372936409643,-0.6897942781177961,-2.150431666052638,0.3525465771714615
2010-01-08,0.17212240163578515,0.21017173699691416,0.24231693051704514,0.7933608865313285,0.09405058090864846,0.6615599768089202,-0.11027610321789713,0.07270673677628167,-1.2281784741915642,1.710736427893346,-2.002045337857233,-1.3803408604331433,2.0827372936409643,-0.6897942781177961,-2.150431666052638,0.3525465771714615
2010-01-11,0.17212240163578515,0.21017173699691416,0.24231693051704514,0.7933608865313285,0.09405058090864846,0.6615599768089202,-0.11027610321789713,0.07270673677628167,-1.2281784741915642,1.710736427893346,-2.002045337857233,-1.3803408604331433,2.0827372936409643,-0.6897942781177961,-2.150431666052638,0.3525465771714615
2010-01-12,0.17212240163578515,0.21017173699691416,0.24231693051704514,0.7933608865313285,0.09405058090864846,0.6615599768089202,-0.11027610321789713,0.07270673677628167,-1.2281784741915642,1.710736427893346,-2.002045337857233,-1.3803408604331433,2.0827372936409643,-0.6897942781177961,-2.150431666052638,0.3525465771714615
2010-01-13,0.17212240163578515,0.21017173699691416,0.24231693051704514,0.7933608865313285,0.09405058090864846,0.6615599768089202,-0.11027610321789713,0.07270673677628167,-1.2281784741915642,1.710736427893346,-2.002045337857233,-1.3803408604331433,2.0827372936409643,-0.6897942781177961,-2.150431666052638,0.3525465771714615
2010-01-14,0.17212240163578515,0.21017173699691416,0.24231693051704514,0.7933608865313285,0.09405058090864846,0.6615599768089202,-0.11027610321789713,0.07270673677628167,-1.2281784741915642,1.710736427893346,-2.002045337857233,-1.3803408604331433,2.0827372936409643,-0.6897942781177961,-2.150431666052638,0.3525465771714615
2010-01-15,0.17212240163578515,0.21017173699691416,0.24231693051704514,0.7933608865313285,0.09405058090864846,0.6615599768089202,-0.11027610321789713,0.07270673677628167,-1.2281784741915642,1.710736427893346,-2.002045337857233,-1.3803408604331433,2.0827372936409643,-0.6897942781177961,-2.150431666052638,0.3525465771714615
2010-01-19,0.17212240163578515,0.21017173699691416,0.24231693051704514,0.7933608865313285,0.09405058090864846,0.6615599768089202,-0.11027610321789713,0.07270673677628167,-1.2281784741915642,1.710736427893346,-2.002045337857233,-1.3803408604331433,2.0827372936409643,-0.6897942781177961,-2.150431666052638,0.3525465771714615
